Postal Code,Latitude,Longitude
620000,56.79817,60.61521
620007,56.79593,60.76726
620010,56.75276,60.70887
620012,56.89393,60.60044
620014,56.84037,60.58504
620016,56.78214,60.54021
620017,56.87976,60.62078
620023,56.78285,60.65996
620024,56.75398,60.61990
620026,56.83233,60.62587
620027,56.85126,60.59493
620028,56.83803,60.55925
620033,56.87584,60.68885
620034,56.85266,60.56313
620036,56.78836,60.47251
620039,56.88520,60.55858
620041,56.85531,60.62609
620042,56.90312,60.59299
620043,56.81890,60.52589
620049,56.84630,60.65892
620050,56.88558,60.50653
620057,56.89383,60.64979
620060,56.78613,60.79826
620062,56.84421,60.64542
620072,56.83444,60.68540
620073,56.79188,60.62728
620075,56.83652,60.62452
620076,56.77682,60.64249
620078,56.83596,60.65510
620083,56.84057,60.61522
620085,56.77687,60.60593
620086,56.82124,60.56566
620087,56.78124,60.63562
620088,56.89512,60.58094
620089,56.80002,60.64079
620093,56.76508,60.33003
620098,56.91006,60.60035
620100,56.82654,60.64537
620102,56.81751,60.56925
620103,56.75275,60.57998
620105,56.78293,60.52273
620107,56.85820,60.59585
620109,56.83220,60.55851
620130,56.80310,60.62067
620131,56.83105,60.54201
620134,56.89175,60.49677
620135,56.89960,60.62443
620137,56.85793,60.64538
620138,56.82534,60.67418
620141,56.86969,60.56297
620142,56.81045,60.62220
620144,56.81709,60.59578
620146,56.80740,60.58113
620149,56.80341,60.54503
620219,56.82786,60.60707
620905,56.80152,60.49128
620912,56.77763,60.79843
620990,56.85232,60.54557
624090,56.98099,60.56327
